TIPO,ESTRATO ,CONSUMO JULIO 2020,CONSUMO AGOSTO 2020.,CONSUMO SEPTIEMBRE 2020.,CONSUMO OCTUBRE 2020.,CONSUMO NOVIEM 2020.,CONSUMO DICIEMBRE 2020.,PROMEDIO
RESIDENCIAL,ESTRATO 2,16,13,19,20,11,27,17.66666667
RESIDENCIAL,ESTRATO 2,10,9,10,12,6,22,11.5
RESIDENCIAL,ESTRATO 2,22,26,27,27,14,9,20.83333333
RESIDENCIAL,ESTRATO 2,23,19,21,21,73,32,31.5
RESIDENCIAL,ESTRATO 2,23,20,56,69,50,72,48.33333333
RESIDENCIAL,ESTRATO 2,14,23,14,23,8,20,17
RESIDENCIAL,ESTRATO 2,11,10,13,15,14,27,15
RESIDENCIAL,ESTRATO 2,21,17,48,60,16,36,33
RESIDENCIAL,ESTRATO 2,24,14,19,28,16,22,20.5
RESIDENCIAL,ESTRATO 2,72,9,17,30,13,25,27.66666667
RESIDENCIAL,ESTRATO 3,212,169,204,264,101,342,215.3333333
RESIDENCIAL,ESTRATO 2,18,14,16,19,10,25,17
RESIDENCIAL,ESTRATO 2,12,9,9,11,7,13,10.16666667
RESIDENCIAL,ESTRATO 2,29,25,28,26,13,33,25.66666667
RESIDENCIAL,ESTRATO 3,31,20,17,31,16,49,27.33333333
RESIDENCIAL,ESTRATO 2,14,9,10,11,6,17,11.16666667
RESIDENCIAL,ESTRATO 2,17,9,5,10,9,13,10.5
RESIDENCIAL,ESTRATO 2,31,25,34,40,21,110,43.5
RESIDENCIAL,ESTRATO 2,35,25,32,34,22,49,32.83333333
RESIDENCIAL,ESTRATO 2,14,3,4,6,10,32,11.5
RESIDENCIAL,ESTRATO 2,8,4,10,14,13,21,11.66666667
RESIDENCIAL,ESTRATO 3,14,13,16,22,13,44,20.33333333
RESIDENCIAL,ESTRATO 2,6,10,9,8,8,16,9.5
RESIDENCIAL,ESTRATO 2,12,9,10,14,7,14,11
RESIDENCIAL,ESTRATO 2,14,9,14,16,9,19,13.5
RESIDENCIAL,ESTRATO 2,7,9,5,2,2,4,4.833333333
RESIDENCIAL,ESTRATO 2,15,12,15,19,11,22,15.66666667
RESIDENCIAL,ESTRATO 3,34,27,27,32,15,34,28.16666667
RESIDENCIAL,ESTRATO 2,37,35,31,33,0,6,23.66666667
RESIDENCIAL,ESTRATO 3,31,22,13,22,7,15,18.33333333
RESIDENCIAL,ESTRATO 3,2,2,1,2,1,2,1.666666667
RESIDENCIAL,ESTRATO 3,31,25,24,37,16,31,27.33333333
RESIDENCIAL,ESTRATO 4,115,98,114,137,64,103,105.1666667
RESIDENCIAL,ESTRATO 3,0,0,0,0,0,0,0
RESIDENCIAL,ESTRATO 3,33,31,38,42,12,76,38.66666667
RESIDENCIAL,ESTRATO 1,0,12,6,4,1,2,4.166666667
RESIDENCIAL,ESTRATO 2,21,22,14,12,10,42,20.16666667
RESIDENCIAL,ESTRATO 1,15,15,14,17,11,18,15
RESIDENCIAL,ESTRATO 1,24,18,15,14,1,13,14.16666667
RESIDENCIAL,ESTRATO 1,11,13,20,52,19,39,25.66666667
RESIDENCIAL,ESTRATO 1,0,1,9,11,5,6,5.333333333
RESIDENCIAL,ESTRATO 1,24,16,20,26,12,23,20.16666667
RESIDENCIAL,ESTRATO 1,23,19,18,26,30,34,25
RESIDENCIAL,ESTRATO 2,16,12,13,13,7,16,12.83333333
RESIDENCIAL,ESTRATO 1,24,22,20,23,13,28,21.66666667
RESIDENCIAL,ESTRATO 1,10,6,10,3,0,0,4.833333333
RESIDENCIAL,ESTRATO 1,9,8,11,14,6,18,11
RESIDENCIAL,ESTRATO 1,8,14,16,20,8,38,17.33333333
RESIDENCIAL,ESTRATO 1,31,30,26,33,19,37,29.33333333
RESIDENCIAL,ESTRATO 1,7,4,2,7,3,7,5
RESIDENCIAL,ESTRATO 1,17,14,18,28,13,31,20.16666667
RESIDENCIAL,ESTRATO 1,1,1,2,2,1,3,1.666666667
RESIDENCIAL,ESTRATO 1,13,21,26,46,49,24,29.83333333
RESIDENCIAL,ESTRATO 2,12,12,10,12,7,14,11.16666667
RESIDENCIAL,ESTRATO 1.0,15,16,6,13,11,13,12.33333333
RESIDENCIAL,ESTRATO 2,18,11,10,14,7,13,12.16666667
RESIDENCIAL,ESTRATO 1,25,24,24,19,17,36,24.16666667
RESIDENCIAL,ESTRATO 1,18,14,18,24,10,21,17.5
RESIDENCIAL,ESTRATO 4,149,116,37,106,53,123,97.33333333
RESIDENCIAL,ESTRATO 1,0,1,0,0,0,3,0.6666666667
RESIDENCIAL,ESTRATO 1,749,192,207,691,285,616,456.6666667
RESIDENCIAL,ESTRATO 2,58,18,52,51,30,58,44.5
RESIDENCIAL,ESTRATO 2,16,10,38,26,9,36,22.5
RESIDENCIAL,ESTRATO 1,12,5,6,7,6,15,8.5
RESIDENCIAL,ESTRATO 1,78,0,0,0,0,0,13
RESIDENCIAL,ESTRATO 1,16,83,38,39,17,37,38.33333333
RESIDENCIAL,ESTRATO 1,31,17,34,31,11,51,29.16666667
RESIDENCIAL,ESTRATO 1,15,22,24,21,10,34,21
RESIDENCIAL,ESTRATO 2,29,28,23,18,8,21,21.16666667
RESIDENCIAL,ESTRATO 2,6,5,5,5,43,3,11.16666667
RESIDENCIAL,ESTRATO 2,13,9,11,13,9,17,12
RESIDENCIAL,ESTRATO 2,16,16,17,24,13,28,19
RESIDENCIAL,ESTRATO 2,0,15,26,15,8,17,13.5
RESIDENCIAL,ESTRATO 1,34,16,19,19,34,38,26.66666667
RESIDENCIAL,ESTRATO 2,12,9,12,13,8,30,14
RESIDENCIAL,ESTRATO 2,8,5,3,3,3,4,4.333333333
RESIDENCIAL,ESTRATO 2,14,12,15,22,12,37,18.66666667
RESIDENCIAL,ESTRATO 1,19,6,4,9,9,34,13.5
RESIDENCIAL,ESTRATO 1,25,56,243,117,37,192,111.6666667
RESIDENCIAL,ESTRATO 1,3,4,3,1,3,4,3
RESIDENCIAL,ESTRATO 2,27,19,21,27,26,22,23.66666667
RESIDENCIAL,ESTRATO 2,17,13,25,31,17,20,20.5
RESIDENCIAL,ESTRATO 2,21,19,27,36,30,28,26.83333333
RESIDENCIAL,ESTRATO 2,0,0,0,0,0,0,0
RESIDENCIAL,ESTRATO 1,17,11,13,20,18,14,15.5
RESIDENCIAL,ESTRATO 2,13,9,0,25,19,16,13.66666667
RESIDENCIAL,ESTRATO 2,26,21,22,30,0,50,24.83333333
RESIDENCIAL,ESTRATO 2,36,30,37,36,36,42,36.16666667
RESIDENCIAL,ESTRATO 2,44,41,12,60,30,38,37.5
RESIDENCIAL,ESTRATO 2,7,9,13,12,11,38,15
RESIDENCIAL,ESTRATO 2,20,0,20,4,7,7,9.666666667
RESIDENCIAL,ESTRATO 3,8,4,7,7,13,7,7.666666667
RESIDENCIAL,ESTRATO 3,19,17,16,17,22,16,17.83333333
RESIDENCIAL,ESTRATO 2,0,0,0,0,0,0,0
RESIDENCIAL,ESTRATO 3,2,6,3,2,2,36,8.5
RESIDENCIAL,ESTRATO 3,54,43,41,56,62,87,57.16666667
RESIDENCIAL,ESTRATO 3,38,53,19,24,23,26,30.5
RESIDENCIAL,ESTRATO 2,0,0,0,0,0,3,0.5
RESIDENCIAL,ESTRATO 2,15,11,13,21,14,13,14.5
RESIDENCIAL,ESTRATO 2,38,31,32,36,33,28,33
RESIDENCIAL,ESTRATO 3,0,2,7,6,5,3,3.833333333
RESIDENCIAL,ESTRATO 3,40,29,25,0,0,0,15.66666667
RESIDENCIAL,ESTRATO 3,3,3,3,3,3,4,3.166666667
RESIDENCIAL,ESTRATO 3,35,18,22,22,18,21,22.66666667
RESIDENCIAL,ESTRATO 3,10,1,10,17,219,152,68.16666667
RESIDENCIAL,ESTRATO 3,26,20,16,23,23,20,21.33333333
RESIDENCIAL,ESTRATO 3,17,11,11,15,12,16,13.66666667
RESIDENCIAL,ESTRATO 2,20,8,20,0,0,33,13.5
RESIDENCIAL,ESTRATO 3,17,11,12,19,13,17,14.83333333
RESIDENCIAL,ESTRATO 3,0,0,0,0,0,29,4.833333333
RESIDENCIAL,ESTRATO 2,21,1,2,3,13,14,9
RESIDENCIAL,ESTRATO 2,0,5,3,2,3,9,3.666666667
RESIDENCIAL,ESTRATO 2,19,18,26,56,59,59,39.5
RESIDENCIAL,ESTRATO 2,24,28,5,25,18,19,19.83333333
RESIDENCIAL,ESTRATO 2,6,5,4,7,7,9,6.333333333
RESIDENCIAL,ESTRATO 2,19,8,10,13,11,13,12.33333333
RESIDENCIAL,ESTRATO 3,39,26,27,31,32,29,30.66666667
RESIDENCIAL,ESTRATO 2,40,25,19,27,26,30,27.83333333
RESIDENCIAL,ESTRATO 2,20,25,48,149,146,246,105.6666667
RESIDENCIAL,ESTRATO 2,95,80,89,112,85,108,94.83333333
RESIDENCIAL,ESTRATO 2,39,27,62,38,40,95,50.16666667
RESIDENCIAL,ESTRATO 2,25,19,23,32,31,25,25.83333333
RESIDENCIAL,ESTRATO 2,32,23,20,21,20,17,22.16666667
RESIDENCIAL,ESTRATO 2,0,0,0,0,0,0,0
RESIDENCIAL,ESTRATO 2,32,24,25,35,28,21,27.5
RESIDENCIAL,ESTRATO 2,18,13,14,18,24,43,21.66666667
RESIDENCIAL,ESTRATO 2,15,7,7,12,12,10,10.5
RESIDENCIAL,ESTRATO 2,23,15,11,15,14,14,15.33333333
RESIDENCIAL,ESTRATO 2,0,60,0,2,0,33,15.83333333
RESIDENCIAL,ESTRATO 2,10,8,3,1,100,0,20.33333333
RESIDENCIAL,ESTRATO 2,10,8,0,0,0,167,30.83333333
RESIDENCIAL,ESTRATO 3,35,25,29,50,86,73,49.66666667
RESIDENCIAL,ESTRATO 2,0,1,0,16,20,17,9
RESIDENCIAL,ESTRATO 2,19,12,14,19,26,10,16.66666667
RESIDENCIAL,ESTRATO 3,0,0,0,0,9,4,2.166666667
RESIDENCIAL,ESTRATO 2,0,0,0,0,1,1,0.3333333333
RESIDENCIAL,ESTRATO 3,422,208,202,73,0,0,150.8333333
RESIDENCIAL,ESTRATO 3,65,45,48,64,51,55,54.66666667
RESIDENCIAL,ESTRATO 3,8,7,9,9,8,43,14
RESIDENCIAL,ESTRATO 3,17,15,15,14,6,15,13.66666667
RESIDENCIAL,ESTRATO 3,3,3,3,4,7,5,4.166666667
RESIDENCIAL,ESTRATO 2,14,9,12,10,11,11,11.16666667
RESIDENCIAL,ESTRATO 3,0,0,45,124,91,83,57.16666667
RESIDENCIAL,ESTRATO 3,19,18,16,32,29,26,23.33333333
RESIDENCIAL,ESTRATO 2,0,0,7,5,10,6,4.666666667
RESIDENCIAL,ESTRATO 3,22,23,20,28,30,22,24.16666667
RESIDENCIAL,ESTRATO 3,7,9,6,5,6,14,7.833333333
RESIDENCIAL,ESTRATO 2,24,18,19,22,21,20,20.66666667
RESIDENCIAL,ESTRATO 2,22,19,20,28,20,16,20.83333333
RESIDENCIAL,ESTRATO 2,11,11,11,13,13,16,12.5
RESIDENCIAL,ESTRATO 2,30,20,25,31,30,33,28.16666667
RESIDENCIAL,ESTRATO 2,14,11,11,8,11,3,9.666666667
RESIDENCIAL,ESTRATO 2,3,6,2,6,3,5,4.166666667
RESIDENCIAL,ESTRATO 2,7,8,5,9,9,8,7.666666667
RESIDENCIAL,ESTRATO 2,22,15,15,13,22,24,18.5
RESIDENCIAL,ESTRATO 2,38,30,39,57,61,37,43.66666667
RESIDENCIAL,ESTRATO 2,21,10,18,11,11,10,13.5
RESIDENCIAL,ESTRATO 2,21,15,18,20,18,17,18.16666667
RESIDENCIAL,ESTRATO 2,12,17,29,20,22,19,19.83333333
RESIDENCIAL,ESTRATO 2,0,0,0,0,0,0,0
RESIDENCIAL,ESTRATO 2,16,11,10,11,14,10,12
RESIDENCIAL,ESTRATO 2,6,4,5,7,4,6,5.333333333
RESIDENCIAL,ESTRATO 2,22,25,21,32,18,32,25
RESIDENCIAL,ESTRATO 2,16,10,4,6,9,18,10.5
RESIDENCIAL,ESTRATO 2,12,10,9,9,8,6,9
RESIDENCIAL,ESTRATO 2,11,13,25,35,33,45,27
RESIDENCIAL,ESTRATO 2,7,14,10,14,24,17,14.33333333
RESIDENCIAL,ESTRATO 2,16,13,18,18,16,18,16.5
RESIDENCIAL,ESTRATO 2,8,5,6,29,14,19,13.5
RESIDENCIAL,ESTRATO 2,20,60,0,2,39,42,27.16666667
RESIDENCIAL,ESTRATO 2,40,19,18,20,19,20,22.66666667
RESIDENCIAL,ESTRATO 2,35,37,60,64,67,61,54
RESIDENCIAL,ESTRATO 2,0,0,0,0,0,0,0
RESIDENCIAL,ESTRATO 2,26,17,14,55,22,21,25.83333333
RESIDENCIAL,ESTRATO 2,6,15,11,10,11,13,11
RESIDENCIAL,ESTRATO 2,5,13,15,16,16,10,12.5
RESIDENCIAL,ESTRATO 2,9,8,10,11,11,11,10
RESIDENCIAL,ESTRATO 2,12,9,10,14,11,15,11.83333333
RESIDENCIAL,ESTRATO 2,20,17,17,17,16,21,18
RESIDENCIAL,ESTRATO 2,34,26,25,35,38,31,31.5
RESIDENCIAL,ESTRATO 2,122,16,113,123,154,95,103.8333333
RESIDENCIAL,ESTRATO 2,55,23,32,33,54,44,40.16666667
RESIDENCIAL,ESTRATO 2,1,2,1,1,1,4,1.666666667
RESIDENCIAL,ESTRATO 2,24,16,14,22,21,15,18.66666667
RESIDENCIAL,ESTRATO 2,22,15,17,17,315,33,69.83333333
RESIDENCIAL,ESTRATO 2,17,14,13,15,13,11,13.83333333
RESIDENCIAL,ESTRATO 1,0,0,2,7,9,11,4.833333333
RESIDENCIAL,ESTRATO 2,48,31,30,33,34,33,34.83333333
RESIDENCIAL,ESTRATO 2,16,12,13,16,14,14,14.16666667
RESIDENCIAL,ESTRATO 2,29,22,26,28,23,41,28.16666667
RESIDENCIAL,ESTRATO 2,11,6,9,12,12,24,12.33333333
RESIDENCIAL,ESTRATO 2,41,32,32,37,38,39,36.5
RESIDENCIAL,ESTRATO 2,13,9,3,19,9,12,10.83333333
RESIDENCIAL,ESTRATO 2,18,15,14,13,0,2,10.33333333
RESIDENCIAL,ESTRATO 2,13,12,19,19,14,18,15.83333333
RESIDENCIAL,ESTRATO 2,42,21,16,20,19,17,22.5
RESIDENCIAL,ESTRATO 2,11,9,8,13,13,13,11.16666667
RESIDENCIAL,ESTRATO 2,6,4,7,7,5,6,5.833333333
RESIDENCIAL,ESTRATO 2,15,8,7,13,7,6,9.333333333
RESIDENCIAL,ESTRATO 2,39,37,31,39,37,36,36.5
RESIDENCIAL,ESTRATO 2,12,11,10,32,0,82,24.5
RESIDENCIAL,ESTRATO 2,1,20,31,54,43,27,29.33333333
RESIDENCIAL,ESTRATO 2,11,4,26,20,19,19,16.5
RESIDENCIAL,ESTRATO 2,18,13,13,17,17,13,15.16666667
RESIDENCIAL,ESTRATO 2,8,4,3,7,16,16,9
RESIDENCIAL,ESTRATO 2,25,15,29,30,53,39,31.83333333
RESIDENCIAL,ESTRATO 2,29,14,10,6,7,48,19
RESIDENCIAL,ESTRATO 2,15,54,16,12,4,2,17.16666667
RESIDENCIAL,ESTRATO 2,2,2,2,3,2,3,2.333333333
RESIDENCIAL,ESTRATO 2,23,21,12,25,26,19,21
RESIDENCIAL,ESTRATO 2,18,20,18,20,34,45,25.83333333
RESIDENCIAL,ESTRATO 2,3,3,2,3,2,1,2.333333333
RESIDENCIAL,ESTRATO 2,26,30,33,23,13,15,23.33333333
RESIDENCIAL,ESTRATO 1,29,23,31,16,16,11,21
RESIDENCIAL,ESTRATO 2,24,11,17,16,13,22,17.16666667
RESIDENCIAL,ESTRATO 2,26,18,15,38,35,41,28.83333333
RESIDENCIAL,ESTRATO 2,10,4,12,9,17,13,10.83333333
RESIDENCIAL,ESTRATO 2,17,16,12,16,19,14,15.66666667
RESIDENCIAL,ESTRATO 2,24,18,21,26,27,25,23.5
RESIDENCIAL,ESTRATO 2,0,0,0,0,0,0,0
RESIDENCIAL,ESTRATO 2,37,25,42,50,50,47,41.83333333
RESIDENCIAL,ESTRATO 2,16,10,9,11,14,12,12
RESIDENCIAL,ESTRATO 2,27,16,14,22,39,36,25.66666667
RESIDENCIAL,ESTRATO 2,9,9,7,3,8,6,7
RESIDENCIAL,ESTRATO 2,0,2,6,7,5,7,4.5
RESIDENCIAL,ESTRATO 2,12,8,10,11,13,13,11.16666667
RESIDENCIAL,ESTRATO 2,30,26,25,29,28,29,27.83333333
RESIDENCIAL,ESTRATO 2,15,8,9,12,10,10,10.66666667
RESIDENCIAL,ESTRATO 2,26,22,21,30,28,26,25.5
RESIDENCIAL,ESTRATO 2,15,10,14,16,14,16,14.16666667
RESIDENCIAL,ESTRATO 2,0,27,0,0,0,17,7.333333333
RESIDENCIAL,ESTRATO 2,27,86,39,47,60,160,69.83333333
RESIDENCIAL,ESTRATO 2,24,18,20,22,25,26,22.5
RESIDENCIAL,ESTRATO 1,9,6,8,14,22,56,19.16666667
RESIDENCIAL,ESTRATO 2,3,3,4,13,8,0,5.166666667
RESIDENCIAL,ESTRATO 2,15,15,26,14,18,13,16.83333333
RESIDENCIAL,ESTRATO 2,12,12,28,15,10,13,15
RESIDENCIAL,ESTRATO 2,1,1,34,21,16,17,15
RESIDENCIAL,ESTRATO 2,20,20,49,27,18,11,24.16666667
RESIDENCIAL,ESTRATO 2,20,20,43,25,16,18,23.66666667
RESIDENCIAL,ESTRATO 2,25,25,54,29,18,36,31.16666667
RESIDENCIAL,ESTRATO 2,0,0,0,0,0,0,0
RESIDENCIAL,ESTRATO 2,60,60,108,17,142,103,81.66666667
RESIDENCIAL,ESTRATO 2,33,33,65,38,25,34,38
RESIDENCIAL,ESTRATO 4,55,55,85,12,1,3,35.16666667
RESIDENCIAL,ESTRATO 4,16,16,18,3,3,2,9.666666667
RESIDENCIAL,ESTRATO 4,15,15,30,4,8,7,13.16666667
RESIDENCIAL,ESTRATO 4,17,17,32,94,15,13,31.33333333
RESIDENCIAL,ESTRATO 4,21,21,67,41,25,33,34.66666667
RESIDENCIAL,ESTRATO 3,48,48,89,44,40,35,50.66666667
RESIDENCIAL,ESTRATO 3,1,1,2,2,2,1,1.5
RESIDENCIAL,ESTRATO 2,4,4,18,9,8,6,8.166666667
RESIDENCIAL,ESTRATO 1,294,294,594,331,275,438,371
RESIDENCIAL,ESTRATO 3,21,21,3,5,6,32,14.66666667
RESIDENCIAL,ESTRATO 3,29,29,69,37,33,25,37
RESIDENCIAL,ESTRATO 3,24,24,59,34,23,46,35
RESIDENCIAL,ESTRATO 3,16,16,16,32,21,31,22
RESIDENCIAL,ESTRATO 3,37,37,94,36,29,75,51.33333333
RESIDENCIAL,ESTRATO 2,16,16,42,21,17,34,24.33333333
RESIDENCIAL,ESTRATO 2,5,5,10,0,8,1,4.833333333
RESIDENCIAL,ESTRATO 2,17,17,34,16,9,15,18
RESIDENCIAL,ESTRATO 2,25,25,58,29,25,21,30.5
RESIDENCIAL,ESTRATO 2,66,66,51,25,29,35,45.33333333
RESIDENCIAL,ESTRATO 2,12,12,28,20,13,33,19.66666667
RESIDENCIAL,ESTRATO 2,30,30,62,36,27,38,37.16666667
RESIDENCIAL,ESTRATO 2,19,19,41,18,13,22,22
RESIDENCIAL,ESTRATO 2,20,20,136,38,38,95,57.83333333
RESIDENCIAL,ESTRATO 2,2,2,0,0,39,5,8
RESIDENCIAL,ESTRATO 3,17,17,34,21,13,23,20.83333333
RESIDENCIAL,ESTRATO 3,13,13,30,16,12,16,16.66666667
RESIDENCIAL,ESTRATO 3,27,27,45,0,74,55,38
RESIDENCIAL,ESTRATO 3,17,17,38,17,15,19,20.5
RESIDENCIAL,ESTRATO 3,74,74,86,30,15,29,51.33333333
RESIDENCIAL,ESTRATO 3,0,0,1,0,0,0,0.1666666667
RESIDENCIAL,ESTRATO 3,4,4,7,4,2,6,4.5
RESIDENCIAL,ESTRATO 3,32,32,65,37,24,26,36
RESIDENCIAL,ESTRATO 3,12,12,23,14,9,9,13.16666667
RESIDENCIAL,ESTRATO 4,10,10,19,1,0,17,9.5
RESIDENCIAL,ESTRATO 4,12,12,30,19,14,34,20.16666667
RESIDENCIAL,ESTRATO 2,36,36,64,37,26,31,38.33333333
RESIDENCIAL,ESTRATO 2,4,4,7,4,3,4,4.333333333
RESIDENCIAL,ESTRATO 2,10,10,14,7,6,3,8.333333333
RESIDENCIAL,ESTRATO 2,1,1,0,1,0,0,0.5
RESIDENCIAL,ESTRATO 3,3,3,4,3,2,0,2.5
RESIDENCIAL,ESTRATO 2,14,14,14,6,7,6,10.16666667
RESIDENCIAL,ESTRATO 2,26,26,55,30,22,29,31.33333333
RESIDENCIAL,ESTRATO 2,35,35,64,35,27,89,47.5
RESIDENCIAL,ESTRATO 2,12,12,21,9,6,8,11.33333333
RESIDENCIAL,ESTRATO 2,19,19,57,32,20,26,28.83333333
RESIDENCIAL,ESTRATO 2,17,17,34,18,14,22,20.33333333
RESIDENCIAL,ESTRATO 2,14,14,71,34,22,29,30.66666667
RESIDENCIAL,ESTRATO 2,24,24,48,21,12,15,24
RESIDENCIAL,ESTRATO 2,0,0,1,1,1,1,0.6666666667
RESIDENCIAL,ESTRATO 2,28,28,45,22,22,20,27.5
RESIDENCIAL,ESTRATO 3,0,0,1,0,0,0,0.1666666667
RESIDENCIAL,ESTRATO 3,0,0,1,1,0,0,0.3333333333
RESIDENCIAL,ESTRATO 3,17,17,32,13,9,12,16.66666667
RESIDENCIAL,ESTRATO 3,0,0,3,0,1,0,0.6666666667
RESIDENCIAL,ESTRATO 2,0,0,27,4,4,9,7.333333333
RESIDENCIAL,ESTRATO 2,0,0,0,0,48,4,8.666666667
RESIDENCIAL,ESTRATO 2,7,7,13,10,9,14,10
RESIDENCIAL,ESTRATO 2,32,32,69,36,27,29,37.5
RESIDENCIAL,ESTRATO 2,18,18,16,10,5,3,11.66666667
RESIDENCIAL,ESTRATO 2,14,14,31,14,8,10,15.16666667
RESIDENCIAL,ESTRATO 2,14,14,25,10,10,10,13.83333333
RESIDENCIAL,ESTRATO 2,5,5,134,45,23,32,40.66666667
RESIDENCIAL,ESTRATO 2,6,6,14,7,8,27,11.33333333
RESIDENCIAL,ESTRATO 2,44,44,86,67,51,83,62.5
RESIDENCIAL,ESTRATO 2,51,51,68,21,21,6,36.33333333
RESIDENCIAL,ESTRATO 2,201,201,442,218,161,249,245.3333333
RESIDENCIAL,ESTRATO 2,5,5,31,29,25,25,20
RESIDENCIAL,ESTRATO 2,17,17,32,21,10,15,18.66666667
RESIDENCIAL,ESTRATO 2,31,31,49,35,29,36,35.16666667
RESIDENCIAL,ESTRATO 2,14,14,26,15,14,13,16
RESIDENCIAL,ESTRATO 2,38,38,62,31,25,27,36.83333333
RESIDENCIAL,ESTRATO 2,1,1,1,1,1,1,1
RESIDENCIAL,ESTRATO 2,0,0,1,2,2,3,1.333333333
RESIDENCIAL,ESTRATO 2,21,21,15,25,0,28,18.33333333
RESIDENCIAL,ESTRATO 2,18,18,35,14,11,12,18
RESIDENCIAL,ESTRATO 2,14,14,30,14,0,23,15.83333333
RESIDENCIAL,ESTRATO 2,15,15,36,22,0,40,21.33333333
RESIDENCIAL,ESTRATO 2,33,33,192,0,0,132,65
RESIDENCIAL,ESTRATO 2,0,0,0,0,0,0,0
RESIDENCIAL,ESTRATO 2,33,33,63,39,0,38,34.33333333
RESIDENCIAL,ESTRATO 2,0,0,0,0,1,1,0.3333333333
RESIDENCIAL,ESTRATO 2,5,5,15,14,0,11,8.333333333
RESIDENCIAL,ESTRATO 2,11,11,35,17,0,27,16.83333333
RESIDENCIAL,ESTRATO 2,22,22,47,19,0,52,27
RESIDENCIAL,ESTRATO 2,15,15,37,25,0,77,28.16666667
RESIDENCIAL,ESTRATO 2,41,41,51,27,0,76,39.33333333
RESIDENCIAL,ESTRATO 2,1,1,1,0,0,2,0.8333333333
RESIDENCIAL,ESTRATO 2,15,15,26,13,0,10,13.16666667
RESIDENCIAL,ESTRATO 2,76,76,115,46,0,13,54.33333333
RESIDENCIAL,ESTRATO 2,1,1,1,2,0,2,1.166666667
RESIDENCIAL,ESTRATO 2,30,30,54,32,0,47,32.16666667
RESIDENCIAL,ESTRATO 2,23,23,21,5,0,6,13
RESIDENCIAL,ESTRATO 2,21,21,31,91,0,31,32.5
RESIDENCIAL,ESTRATO 2,8,8,6,0,0,1,3.833333333
RESIDENCIAL,ESTRATO 2,23,23,37,23,0,34,23.33333333
RESIDENCIAL,ESTRATO 2,17,17,36,21,0,34,20.83333333
RESIDENCIAL,ESTRATO 2,31,31,140,68,0,171,73.5
RESIDENCIAL,ESTRATO 2,34,34,27,23,0,44,27
RESIDENCIAL,ESTRATO 2,23,23,57,26,0,40,28.16666667
RESIDENCIAL,ESTRATO 2,6,6,11,7,0,11,6.833333333
RESIDENCIAL,ESTRATO 2,12,12,38,17,0,26,17.5
RESIDENCIAL,ESTRATO 1,0,0,3,2,0,2,1.166666667
RESIDENCIAL,ESTRATO 2,24,24,79,18,0,66,35.16666667
RESIDENCIAL,ESTRATO 2,70,70,191,23,0,47,66.83333333
RESIDENCIAL,ESTRATO 2,14,14,38,17,0,24,17.83333333
RESIDENCIAL,ESTRATO 2,13,13,37,26,0,0,14.83333333
RESIDENCIAL,ESTRATO 2,51,51,127,9,0,129,61.16666667
RESIDENCIAL,ESTRATO 2,18,18,48,29,0,53,27.66666667
RESIDENCIAL,ESTRATO 2,10,10,33,12,0,12,12.83333333
RESIDENCIAL,ESTRATO 2,11,11,30,12,0,22,14.33333333
RESIDENCIAL,ESTRATO 2,11,11,27,10,0,10,11.5
RESIDENCIAL,ESTRATO 2,19,19,78,42,0,69,37.83333333
RESIDENCIAL,ESTRATO 2,14,14,42,21,0,29,20
RESIDENCIAL,ESTRATO 2,14,14,44,19,0,37,21.33333333
RESIDENCIAL,ESTRATO 2,1,1,2,1,0,4,1.5
RESIDENCIAL,ESTRATO 2,22,22,38,19,0,53,25.66666667
RESIDENCIAL,ESTRATO 1.0,17,17,46,20,0,33,22.16666667
RESIDENCIAL,ESTRATO 1,9,9,22,11,0,17,11.33333333
RESIDENCIAL,ESTRATO 1.0,25,25,59,31,0,50,31.66666667
RESIDENCIAL,ESTRATO 1.0,31,31,62,33,0,24,30.16666667
RESIDENCIAL,ESTRATO 1.0,17,17,39,13,0,13,16.5
RESIDENCIAL,ESTRATO 1,10,10,11,9,0,6,7.666666667
RESIDENCIAL,ESTRATO 1.0,13,13,20,9,0,36,15.16666667
RESIDENCIAL,ESTRATO 1.0,226,226,0,35,0,44,88.5
RESIDENCIAL,ESTRATO 1,7,7,32,18,0,30,15.66666667
RESIDENCIAL,ESTRATO 1.0,8,8,22,0,0,28,11
RESIDENCIAL,ESTRATO 1.0,13,13,23,16,0,0,10.83333333
RESIDENCIAL,ESTRATO 1.0,8,8,18,10,0,18,10.33333333
RESIDENCIAL,ESTRATO 1.0,2,2,53,9,0,13,13.16666667
RESIDENCIAL,ESTRATO 1.0,7,7,29,30,0,38,18.5
RESIDENCIAL,ESTRATO 2,25,25,50,50,0,55,34.16666667
RESIDENCIAL,ESTRATO 1.0,10,10,21,9,0,21,11.83333333
RESIDENCIAL,ESTRATO 1,1,1,73,60,0,120,42.5
RESIDENCIAL,ESTRATO 1.0,3,3,73,28,0,35,23.66666667
RESIDENCIAL,ESTRATO 1.0,26,26,37,18,0,0,17.83333333
RESIDENCIAL,ESTRATO 1.0,16,16,102,48,0,55,39.5
RESIDENCIAL,ESTRATO 1.0,40,40,129,28,0,139,62.66666667
RESIDENCIAL,ESTRATO 2,7,7,8,6,0,24,8.666666667
RESIDENCIAL,ESTRATO 2,19,19,36,12,0,33,19.83333333
RESIDENCIAL,ESTRATO 2,13,13,28,19,0,31,17.33333333
