TIPO,ESTRATO ,CONSUMO JULIO 2020,CONSUMO AGOSTO 2020.,CONSUMO SEPTIEMBRE 2020.,CONSUMO OCTUBRE 2020.,CONSUMO NOVIEM 2020.,CONSUMO DICIEMBRE 2020.,PROMEDIO
RESIDENCIAL,ESTRATO 2,16,9,12,12,5,3,9.5
RESIDENCIAL,ESTRATO 2,45,19,38,79,42,168,65.16666667
RESIDENCIAL,ESTRATO 2,34,28,63,68,53,58,50.66666667
RESIDENCIAL,ESTRATO 3,35,15,27,5,71,0,25.5
RESIDENCIAL,ESTRATO 2,10,7,12,13,8,10,10
RESIDENCIAL,ESTRATO 2,29,19,23,68,0,21,26.66666667
RESIDENCIAL,ESTRATO 2,34,29,29,30,53,0,29.16666667
RESIDENCIAL,ESTRATO 2,23,13,18,24,15,18,18.5
RESIDENCIAL,ESTRATO 2,24,13,19,11,16,3,14.33333333
RESIDENCIAL,ESTRATO 2,10,8,13,15,10,18,12.33333333
RESIDENCIAL,ESTRATO 2,15,13,12,18,11,16,14.16666667
RESIDENCIAL,ESTRATO 2,10,6,3,0,0,3,3.666666667
RESIDENCIAL,ESTRATO 3,5,2,8,19,12,9,9.166666667
RESIDENCIAL,ESTRATO 2,12,9,11,11,9,40,15.33333333
RESIDENCIAL,ESTRATO 3,0,3,5,1,1,0,1.666666667
RESIDENCIAL,ESTRATO 3,27,16,22,27,10,12,19
RESIDENCIAL,ESTRATO 3,14,11,12,14,13,13,12.83333333
RESIDENCIAL,ESTRATO 2,18,13,17,39,0,8,15.83333333
RESIDENCIAL,ESTRATO 4,27,26,34,50,34,43,35.66666667
RESIDENCIAL,ESTRATO 4,3,1,2,3,2,3,2.333333333
RESIDENCIAL,ESTRATO 3,12,8,20,7,0,2,8.166666667
RESIDENCIAL,ESTRATO 3,12,10,19,25,23,0,14.83333333
RESIDENCIAL,ESTRATO 3,2,2,7,9,7,7,5.666666667
RESIDENCIAL,ESTRATO 2,29,26,38,32,19,23,27.83333333
RESIDENCIAL,ESTRATO 3,32,25,34,41,32,36,33.33333333
RESIDENCIAL,ESTRATO 3,27,18,25,23,10,40,23.83333333
RESIDENCIAL,ESTRATO 2,29,21,25,27,20,27,24.83333333
RESIDENCIAL,ESTRATO 2,15,9,12,15,0,23,12.33333333
RESIDENCIAL,ESTRATO 2,6,3,6,6,4,5,5
RESIDENCIAL,ESTRATO 1.0,25,16,20,27,4,38,21.66666667
RESIDENCIAL,ESTRATO 1.0,3,2,3,3,10,0,3.5
RESIDENCIAL,ESTRATO 3,24,21,23,32,21,29,25
RESIDENCIAL,ESTRATO 3,92,62,53,74,0,52,55.5
RESIDENCIAL,ESTRATO 2,16,13,13,17,10,11,13.33333333
RESIDENCIAL,ESTRATO 2,10,5,9,8,7,8,7.833333333
RESIDENCIAL,ESTRATO 2,4,30,19,21,10,13,16.16666667
RESIDENCIAL,ESTRATO 2,2,1,2,2,1,3,1.833333333
RESIDENCIAL,ESTRATO 2,14,9,12,15,20,1,11.83333333
RESIDENCIAL,ESTRATO 3,32,21,28,35,19,41,29.33333333
RESIDENCIAL,ESTRATO 3,16,11,24,35,20,29,22.5
RESIDENCIAL,ESTRATO 2,1,1,3,4,10,13,5.333333333
RESIDENCIAL,ESTRATO 2,16,11,19,26,18,18,18
RESIDENCIAL,ESTRATO 3,0,0,1,1,1,1,0.6666666667
RESIDENCIAL,ESTRATO 3,0,0,11,9,3,3,4.333333333
RESIDENCIAL,ESTRATO 2,0,0,0,0,0,0,0
RESIDENCIAL,ESTRATO 3,83,13,31,45,23,35,38.33333333
RESIDENCIAL,ESTRATO 2,17,12,13,17,14,27,16.66666667
RESIDENCIAL,ESTRATO 3,29,1,1,0,0,0,5.166666667
RESIDENCIAL,ESTRATO 3,35,25,28,41,35,33,32.83333333
RESIDENCIAL,ESTRATO 3,39,23,30,52,37,44,37.5
RESIDENCIAL,ESTRATO 3,15,9,17,22,21,16,16.66666667
RESIDENCIAL,ESTRATO 4,23,6,36,25,21,32,23.83333333
RESIDENCIAL,ESTRATO 3,0,1,0,0,1,0,0.3333333333
RESIDENCIAL,ESTRATO 3,0,0,0,0,0,0,0
